"effect","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj","pres"
"fixed","ResponseResponder:I(Days^2)",-3.56263417388812e-05,0.000108912033241794,42,-0.327111161902448,0.745208596274592,"g__Clostridium","GMM",1,85
"fixed","ResponseResponder",0.116855971494855,0.181262074831946,40,0.644679652945583,0.522815125416627,"g__Parasutterella","ZIGMM",1,49
"fixed","ResponseResponder:Days",-0.0054862712290663,0.00269389252899617,42,-2.03655905720584,0.0480308839289313,"g__Parasutterella","ZIGMM",1,49
"fixed","ResponseResponder:I(Days^2)",3.22985968445465e-05,2.1883826759911e-05,42,1.47591174061542,0.147426034402537,"g__Parasutterella","ZIGMM",1,49
"fixed","ResponseResponder",0.161597522628084,0.193279139508039,40,0.836083619988192,0.408074760045793,"g__Phascolarctobacterium","ZIGMM",1,58
"fixed","ResponseResponder:Days",-0.00178655898172947,0.0057396580207374,42,-0.311265754035281,0.757138363049209,"g__Phascolarctobacterium","ZIGMM",1,58
"fixed","ResponseResponder:I(Days^2)",6.32026103530375e-05,4.72365874159038e-05,42,1.33800119378984,0.188095658028253,"g__Phascolarctobacterium","ZIGMM",1,58
"fixed","ResponseResponder",0.127766091449182,0.162927828712626,40,0.784188265802877,0.43754908496452,"g__Dorea","ZIGMM",1,66
"fixed","ResponseResponder:Days",-0.00041396323130558,0.00529642154876249,42,-0.0781590414385166,0.938072727566877,"g__Dorea","ZIGMM",1,66
"fixed","ResponseResponder:I(Days^2)",1.01343371968742e-05,4.37405602694559e-05,42,0.231691984154832,0.817902409207519,"g__Dorea","ZIGMM",1,66
"fixed","ResponseResponder",0.386783401661432,0.219417927503703,40,1.76277028072332,0.0855787602215184,"g__Collinsella","ZIGMM",1,68
"fixed","ResponseResponder:Days",-0.00883371019525426,0.00877968065946002,42,-1.00615392949811,0.320103305557578,"g__Collinsella","ZIGMM",1,68
"fixed","ResponseResponder:I(Days^2)",4.49355638322359e-05,7.31904525406093e-05,42,0.613953900712714,0.542557175078904,"g__Collinsella","ZIGMM",1,68
"fixed","ResponseResponder",0.00982694521160966,0.0704689381169736,40,0.139450734950732,0.889793766001333,"g__Bilophila","ZIGMM",1,57
"fixed","ResponseResponder:Days",-0.00196470201050723,0.00193918698248937,42,-1.01315759039652,0.316786228206766,"g__Bilophila","ZIGMM",1,57
"fixed","ResponseResponder:I(Days^2)",2.43470438650201e-05,1.59315082269646e-05,42,1.52823219987496,0.133951898689284,"g__Bilophila","ZIGMM",1,57
"fixed","ResponseResponder",-0.559635275164436,1.14905173797206,40,-0.487040971847034,0.628887703372194,"g__Odoribacter","ZIGMM",1,60
"fixed","ResponseResponder:Days",-0.00530940690263144,0.019198214436573,42,-0.276557328816835,0.783476495076865,"g__Odoribacter","ZIGMM",1,60
"fixed","ResponseResponder:I(Days^2)",0.000121711204231692,0.000155371025124514,42,0.783358442374647,0.437811904614421,"g__Odoribacter","ZIGMM",1,60
"fixed","ResponseResponder",-0.338013596574524,0.23910944086577,40,-1.4136355107964,0.165204705622803,"g__Anaerostipes","ZIGMM",1,66
"fixed","ResponseResponder:Days",0.00571267045899065,0.00661777053583981,42,0.86323187364273,0.392912836008394,"g__Anaerostipes","ZIGMM",1,66
"fixed","ResponseResponder:I(Days^2)",-3.74983684278375e-05,5.43744924213303e-05,42,-0.689631604048363,0.494218807107578,"g__Anaerostipes","ZIGMM",1,66
"fixed","ResponseResponder",0.285224991955942,0.254511942882701,40,1.12067429420157,0.269110023669397,"g__Dysosmobacter","ZIGMM",1,79
"fixed","ResponseResponder:Days",0.000351510244825272,0.00426159305386391,42,0.0824832968287677,0.934654255446293,"g__Dysosmobacter","ZIGMM",1,79
"fixed","ResponseResponder:I(Days^2)",-8.51475127905388e-06,3.49608357459491e-05,42,-0.243551136503951,0.808764182640387,"g__Dysosmobacter","ZIGMM",1,79
"fixed","ResponseResponder",0.162085695950884,0.17934683221506,40,0.903755555361703,0.371535922615054,"g__Flavonifractor","ZIGMM",1,64
"fixed","ResponseResponder:Days",-0.00360961677286934,0.00533288969087818,42,-0.676859448085628,0.502206240469612,"g__Flavonifractor","ZIGMM",1,64
"fixed","ResponseResponder:I(Days^2)",1.90640148372154e-05,4.39087488845043e-05,42,0.434173492106563,0.666384820986173,"g__Flavonifractor","ZIGMM",1,64
"fixed","ResponseResponder",0.163928786530433,0.51972104863312,40,0.315416870187518,0.754084933984496,"g__Streptococcus","ZIGMM",1,66
"fixed","ResponseResponder:Days",0.00766740549761742,0.0119233416296539,42,0.643058442487986,0.523681715149356,"g__Streptococcus","ZIGMM",1,66
"fixed","ResponseResponder:I(Days^2)",-4.01266170177815e-05,9.74865725929733e-05,42,-0.411611732267155,0.682717076404148,"g__Streptococcus","ZIGMM",1,66
"fixed","ResponseResponder",0.312753650865637,0.696728087184875,40,0.448889109852476,0.65593425700874,"g__Roseburia","ZIGMM",1,78
"fixed","ResponseResponder:Days",0.000669685557054436,0.0178346158063456,42,0.0375497607756798,0.970224578575987,"g__Roseburia","ZIGMM",1,78
"fixed","ResponseResponder:I(Days^2)",2.95647819506152e-06,0.000147013274253626,42,0.0201102805856907,0.984050635614468,"g__Roseburia","ZIGMM",1,78
"fixed","ResponseResponder",-0.486698587238056,0.33439991044416,40,-1.4554387487473,0.153351795677619,"g__Clostridiaceae_unclassified","ZIGMM",1,78
"fixed","ResponseResponder:Days",0.0110857603496997,0.0145012318935579,42,0.764470248532784,0.448861037877819,"g__Clostridiaceae_unclassified","ZIGMM",1,78
