Taxonomy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold,level
o__Verrucomicrobiales,11.16190124,0.951030165,1.08997597,0.872523974,0.382922595,0.89806184,FALSE,order
o__Victivallales,0.017201569,-0.465996037,3.455741788,-0.134846891,0.892732931,0.952248459,FALSE,order
o__Viruses_unclassified,0.011375231,-0.465996037,3.455741788,-0.134846891,0.892732931,0.952248459,FALSE,order
f__Acidaminococcaceae,14.74209595,-3.168837303,0.7355102,-4.308352628,1.64E-05,0.000296055,TRUE,family
f__Ackermannviridae,0.0350386,0.348109835,3.454594104,0.100767217,0.919735251,NA,NA,family
f__Actinomycetaceae,0.06317198,-0.586561419,3.455717833,-0.169736491,0.865217375,NA,NA,family
f__Aeromonadaceae,0.013194866,-0.546494268,3.455719779,-0.158141951,0.874344944,NA,NA,family
f__Akkermansiaceae,11.29070898,0.992052432,1.110212973,0.893569483,0.37155228,0.636946766,FALSE,family
f__Alloherpesviridae,0.006907953,-0.546494268,3.455719779,-0.158141951,0.874344944,NA,NA,family
f__Atopobiaceae,0.07739259,-0.62662876,3.455715938,-0.181331096,0.856107699,NA,NA,family
f__Bacteroidaceae,553.3384654,-0.163178343,0.364183086,-0.44806678,0.654105002,0.824533118,FALSE,family
f__Baculoviridae,0.015237528,-0.546494268,3.455719779,-0.158141951,0.874344944,NA,NA,family
f__Barnesiellaceae,8.809218187,-1.75241368,0.795280329,-2.203516944,0.027558334,0.099017517,FALSE,family
f__Bifidobacteriaceae,16.19961096,-1.726145008,0.809631841,-2.132012257,0.033005839,0.099017517,FALSE,family
f__Campylobacteraceae,0.016107534,-0.546494268,3.455719779,-0.158141951,0.874344944,NA,NA,family
f__Candidatus_Gastranaerophilales_unclassified,0.142753468,1.104296735,3.061454766,0.3607098,0.718316398,0.834173882,FALSE,family
f__Caudovirales_unclassified,0.196085249,-0.871852694,3.455679123,-0.252295616,0.800812576,0.847919198,FALSE,family
f__Christensenellaceae,0.01732146,-0.586561419,3.455717833,-0.169736491,0.865217375,NA,NA,family
f__Clostridiaceae,13.06376404,-0.853510218,0.449835787,-1.897381764,0.057777571,0.159999427,FALSE,family
f__Clostridiales_Family_XIII_Incertae_Sedis,0.006013918,-0.546494268,3.455719779,-0.158141951,0.874344944,NA,NA,family
