"effect","group","term","estimate","std.error","statistic","p.value"
"fixed",NA,"Days2",-0.000470760364307405,0.00534778458767498,-0.0880290439133179,0.929853592038123
"fixed",NA,"o__Coriobacteriales:Days",-0.068482037779031,1.52757523821127,-0.0448305497928996,0.964242374351652
"fixed",NA,"o__Coriobacteriales:Days2",0.000708929555789092,0.0170469564348036,0.0415868696855305,0.96682804066015
"ran_pars","Patient_Id","sd__(Intercept)",45.2046369052922,NA,NA,NA
"fixed",NA,"(Intercept)",10.7082569611425,16.6171938423047,0.644408259466829,0.519310730029695
"fixed",NA,"o__Desulfovibrionales",0.754799622685786,35.7114098004633,0.021136091431372,0.983137094520422
"fixed",NA,"Days",0.0449710309536091,0.488639574077267,0.0920331330890075,0.926671714895216
"fixed",NA,"Days2",-0.00036732482691949,0.00368493563197435,-0.0996828340045335,0.920596129134625
"fixed",NA,"o__Desulfovibrionales:Days",-0.0618066404305875,1.40514748849741,-0.0439858740356718,0.964915663856302
"fixed",NA,"o__Desulfovibrionales:Days2",0.000722382848523102,0.0183513595363267,0.0393639962801195,0.968600184454955
"ran_pars","Patient_Id","sd__(Intercept)",46.0042968126248,NA,NA,NA
"fixed",NA,"(Intercept)",11.1694899779368,0.00197943120953376,5642.77754343767,0
"fixed",NA,"o__Lactobacillales",0.329386162451498,0.00197972415922597,166.379826662459,0
"fixed",NA,"Days",0.0904523638038793,0.00197594428360275,45.7767785025582,0
"fixed",NA,"Days2",-0.000837676663412407,0.000335591118178009,-2.49612286511133,0.012555910333965
"fixed",NA,"o__Lactobacillales:Days",-0.0311015464054425,0.00200012769140953,-15.5497804160317,1.59652253428405e-54
"fixed",NA,"o__Lactobacillales:Days2",0.000390454217621476,0.000325409874831776,1.19988435453388,0.23018425703357
"ran_pars","Patient_Id","sd__(Intercept)",60.6970846873438,NA,NA,NA
"fixed",NA,"(Intercept)",10.507804382289,14.4173912307783,0.728828413829606,0.466106628460165
"fixed",NA,"o__Firmicutes_unclassified",0.690993814701411,21.9496769226615,0.0314808193822666,0.974886088478769
"fixed",NA,"Days",0.0277709308064214,0.593895679693973,0.0467606210247756,0.962704014550604
"fixed",NA,"Days2",-6.085835773849e-05,0.00555733616753675,-0.0109509944879698,0.99126254521179
"fixed",NA,"o__Firmicutes_unclassified:Days",0.0143087857697485,0.948837277236123,0.0150803368639022,0.987968088088984
"fixed",NA,"o__Firmicutes_unclassified:Days2",-0.000435270299106712,0.00942007249814241,-0.0462066825061638,0.963145516295842
"ran_pars","Patient_Id","sd__(Intercept)",45.030723854389,NA,NA,NA
"fixed",NA,"(Intercept)",11.5387895334497,15.9103396187832,0.725238417904505,0.468305777900847
"fixed",NA,"o__Clostridia_unclassified",-4.93058009226667,684.083482171725,-0.00720757074357915,0.994249240373955
"fixed",NA,"Days",0.0211298381528567,0.399084823286445,0.0529457321349718,0.957775146497435
"fixed",NA,"Days2",-0.000153709327103145,0.00286104414546152,-0.0537249057645523,0.957154339523358
"fixed",NA,"o__Clostridia_unclassified:Days",14.396741011305,77.213964472167,0.186452555696639,0.852089881447879
"fixed",NA,"o__Clostridia_unclassified:Days2",-0.165103871002702,1.20605845425137,-0.136895413668142,0.891113464070111
"ran_pars","Patient_Id","sd__(Intercept)",57.8278906954168,NA,NA,NA
"fixed",NA,"(Intercept)",10.5304170288442,0.00193927040745173,5430.09215650415,0
"fixed",NA,"o__OFGB79266",96.7081579933158,0.00193912514716855,49872.0560323432,0
"fixed",NA,"Days",0.0444465011701714,0.00194095499516137,22.89929507947,4.72193051765904e-116
"fixed",NA,"Days2",-0.000387193249229384,0.000328962393074015,-1.1770137176205,0.239190031116078
"fixed",NA,"o__OFGB79266:Days",-4.16108163889863,0.00193913345978734,-2145.84592818844,0
"fixed",NA,"o__OFGB79266:Days2",0.0470584909241664,0.00193930557490822,24.2656399966227,4.52164560137733e-130
"ran_pars","Patient_Id","sd__(Intercept)",41.7235455918543,NA,NA,NA
"fixed",NA,"(Intercept)",10.7782830160252,13.3377842419044,0.808101467270866,0.419032173027803
"fixed",NA,"o__Eggerthellales",1.01793826699708,65.4771017447536,0.0155464771633489,0.987596205550119
"fixed",NA,"Days",0.0296250645627634,0.372344228615562,0.0795636464486487,0.936584309449613
"fixed",NA,"Days2",-0.000217188873669267,0.00287918386667608,-0.0754341798670898,0.939869265069626
"fixed",NA,"o__Eggerthellales:Days",0.00910242031723183,3.07094868119454,0.00296404181970608,0.997635040257393
"fixed",NA,"o__Eggerthellales:Days2",4.83074565059358e-05,0.0288598687144818,0.00167386265626687,0.99866445145332
"ran_pars","Patient_Id","sd__(Intercept)",45.9079634953357,NA,NA,NA
"fixed",NA,"(Intercept)",12.2709359669465,14.7539158116234,0.831707061611349,0.405574313749924
"fixed",NA,"o__Enterobacterales",-3.23627394678546,4.78567753240511,-0.676241540486541,0.49888730223174
"fixed",NA,"Days",-0.0190342970479695,0.628962254746543,-0.030263019607814,0.975857289132945
"fixed",NA,"Days2",0.000252574653296512,0.00643363346259785,0.0392584773075531,0.96868431138512
"fixed",NA,"o__Enterobacterales:Days",0.355877979448796,2.2342829005346,0.159280626174799,0.873447783961499
"fixed",NA,"o__Enterobacterales:Days2",-0.00372726454308847,0.0308150056734032,-0.12095615307011,0.903725764904485
"ran_pars","Patient_Id","sd__(Intercept)",50.7682121196606,NA,NA,NA
"fixed",NA,"(Intercept)",11.396063105126,23.8888835246977,0.477044609194237,0.63333035637017
"fixed",NA,"f__Bacteroidaceae",-0.0157016032192891,0.691491880939989,-0.022706851160631,0.981884110809894
"fixed",NA,"Days",0.0527656318456441,0.748852413128654,0.0704619908016226,0.943825952272082
"fixed",NA,"Days2",-0.000653908895488043,0.00876356327609204,-0.0746167825674264,0.940519620790327
