"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"s__Massiliomicrobiota_timonensis",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Megamonas_funiformis",1.15625705591037,-0.205647660545554,0.462172175576758,-0.444958981550373,0.65634939716134,0.749131772676294,FALSE,"species"
"s__Megamonas_funiformis_CAG_377",1.49412112503606,-0.647520974691359,0.566716684349312,-1.14258322116425,0.253211675232331,0.506423350464662,FALSE,"species"
"s__Megamonas_hypermegale",1.06734545877204,-0.0626901581879777,0.465983743984002,-0.134532929522387,0.892981173769348,NA,NA,"species"
"s__Megasphaera_sp_DISK_18",1.13818342620936,-0.178165374296351,0.462811886554444,-0.384962831492428,0.700264953482777,NA,NA,"species"
"s__Megasphaera_sp_MJR8396C",2.95992154234037,-1.7473154775278,0.684179322708719,-2.55388524547928,0.0106528359219804,0.0611136376576771,FALSE,"species"
"s__Methanobrevibacter_smithii",2.22047379384327,1.05632651124362,0.41338893515508,2.55528491793653,0.0106100910105382,0.0611136376576771,FALSE,"species"
"s__Monoglobus_pectinilyticus",3.41568947464964,-1.08894289555451,0.521594920219482,-2.08771760103854,0.036823316173585,0.15146194199701,FALSE,"species"
"s__Odoribacter_laneus",1.56794409985974,-0.871573480088493,0.606632695309698,-1.4367400353249,0.150791874620055,0.39605576707436,FALSE,"species"
"s__Odoribacter_splanchnicus",7.36432967613739,-0.194775690563804,0.480471610006335,-0.405384390060498,0.685194983385071,0.773950810248422,FALSE,"species"
"s__Olsenella_scatoligenes",1.08526975074489,-0.0924379155844832,0.465113361270189,-0.198742765273486,0.842463969401386,NA,NA,"species"
"s__Oscillibacter_sp_57_20",5.55270676299861,2.26487049560255,0.480360612834132,4.7149379759506,2.41784389423942e-06,0.000100605341216272,TRUE,"species"
"s__Oscillibacter_sp_CAG_241",2.52589063220583,2.34774116026847,0.399766466420096,5.87278162996627,4.2854281351193e-09,3.11407777818669e-07,TRUE,"species"
"s__Oxalobacter_formigenes",1.06701033166517,0.0831600131542108,0.452460067972138,0.183795254080481,0.854174079410488,NA,NA,"species"
"s__Parabacteroides_distasonis",19.6238193322468,-2.55536064819535,0.612383187394675,-4.17281320061527,3.00861601392173e-05,0.000468484493596384,TRUE,"species"
"s__Parabacteroides_goldsteinii",1.19205149619905,-0.117145369553714,0.4471152123418,-0.26200264790848,0.793319400747078,0.856156581004272,FALSE,"species"
"s__Parabacteroides_gordonii",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Parabacteroides_johnsonii",1.04943926061065,0.114186527619129,0.453456087738996,0.251813859614237,0.801184944035546,NA,NA,"species"
"s__Parabacteroides_merdae",22.9903958827201,-0.451428860619428,0.49205041742379,-0.917444320000697,0.358909857416205,0.598713059198184,FALSE,"species"
"s__Paraprevotella_clara",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Paraprevotella_xylaniphila",1.79737076487089,0.40995818528004,0.447655292130786,0.915789877806844,0.359777113554872,0.598713059198184,FALSE,"species"
"s__Parasutterella_excrementihominis",3.73907343660293,0.105355372200337,0.514218189328403,0.204884569209692,0.837662311467439,0.890193573552219,FALSE,"species"
"s__Pediococcus_acidilactici",1.10326377779443,-0.121585137133217,0.46429538159013,-0.261870227347101,0.793421493957826,NA,NA,"species"
