"species","core_3of3","core_2of3","group"
"s__Fusicatenibacter_sp_CLA_AA_H277",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__Clostridium_sp_AM33_3",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Blautia_hansenii",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Blautia_producta",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB9365_SGB14341",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__Rothia_mucilaginosa",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9469_SGB14862",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Enterocloster_aldenensis",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__GGB33512_SGB15201",0.0769230769230769,0.307692307692308,"all pts w/ 3 samples"
"s__GGB3550_SGB4747",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9343_SGB14307",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__GGB2653_SGB3574",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Neglectibacter_timonensis",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Blautia_stercoris",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Clostridium_sp_AM29_11AC",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9547_SGB14953",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9770_SGB15390",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Lachnoclostridium_pacaense",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Anaerotruncus_massiliensis",0.0769230769230769,0.307692307692308,"all pts w/ 3 samples"
"s__Alistipes_indistinctus",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Massilistercora_timonensis",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
